,상품명,상품가격
0,오븐구이 오리도시락,"6,900원"
1,열무 감초고추장 비빔밥,"4,500원"
2,열무 두부강된장 비빔밥,"4,900원"
3,핫 치즈 닭갈비 덮밥,"5,900원"
4,오리지널 치즈 닭갈비 덮밥,"5,900원"
5,1993 왕돈까스 도시락,"9,300원"
6,한입 족발 도시락,"8,500원"
7,매화(순살 고등어 간장구이),"10,000원"
8,진달래,"7,500원"
9,개나리(순살 고등어 간장구이),"8,000원"
10,돈까스도련님고기고기,"6,000원"
11,탕수육도련님고기고기,"5,800원"
12,새치 고기고기,"6,700원"
13,돈치 고기고기,"5,800원"
14,숯불직화구이,"6,500원"
15,소불고기,"5,400원"
16,메가치킨제육,"7,000원"
17,칠리 찹쌀탕수육도련님,"4,200원"
18,동백,"5,800원"
19,치킨제육,"4,700원"
20,돈까스도련님,"4,500원"
21,제육볶음,"4,200원"
22,돈치스팸 도시락,"4,900원"
23,제육 김치찌개 정식,"8,200원"
24,제육 김치 부대찌개 정식,"8,500원"
25,돈치스팸 김치 부대찌개 정식,"8,500원"
26,빅치킨마요 김치 부대찌개 정식,"7,500원"
27,치킨마요 김치 부대찌개 정식,"6,900원"
28,빅치킨마요 김치찌개 정식,"7,000원"
29,치킨마요 김치찌개 정식,"6,500원"
30,메가스팸마요,"5,600원"
31,스팸마요,"3,700원"
32,메가치킨마요,"5,800원"
33,왕치킨마요,"4,800원"
34,빅치킨마요,"4,100원"
35,치킨마요,"3,500원"
36,참치마요,"3,200원"
37,돈치마요,"3,800원"
38,돈까스 카레,"4,500원"
39,스팸 김치볶음밥,"4,700원"
40,김치볶음밥,"3,900원"
41,스팸철판볶음밥,"4,500원"
42,소불고기 철판볶음밥,"4,700원"
43,나시고랭,"6,000원"
44,묵은지 김치찌개,"4,500원"
45,김치 부대찌개,"5,800원"
46,숯불직화구이 덮밥,"5,900원"
47,마파두부 덮밥,"5,000원"
48,왕카레돈까스덮밥,"5,900원"
49,새우돈까스 덮밥,"4,100원"
50,돈까스 덮밥,"4,000원"
51,소불고기 감초고추장 비빔밥,"5,200원"
52,시골제육 두부강된장 비빔밥,"5,000원"
53,참치야채 감초고추장,"3,300원"
54,튼튼도시락,"5,000원"
55,토네이도 소세지 파스타,"5,500원"
