,종목명,가격정보,거래량
0,KODEX 200선물인버스2X,"3,390","111,451,492"
1,KODEX 코스닥150선물인버스,"5,260","31,721,663"
2,SH에너지화학,"1,045","25,143,213"
3,현대약품,"6,350","19,361,538"
4,KODEX 인버스,"5,070","19,125,465"
5,KODEX 레버리지,"13,970","17,089,588"
6,국동,"2,095","11,505,377"
7,GS글로벌,"3,520","9,992,421"
8,KODEX 코스닥150레버리지,"7,845","9,462,299"
9,아남전자,"2,500","9,199,500"
10,TIGER 차이나전기차SOLACTIVE,"16,610","7,832,094"
11,일동제약,"41,550","7,384,050"
12,삼성 인버스 2X WTI원유 선물 ETN,120,"6,902,083"
13,대한전선,"1,760","6,236,569"
14,TIGER 200선물인버스2X,"3,545","6,035,904"
15,삼성전자,"58,100","5,954,462"
16,사조동아원,"1,520","4,170,488"
17,쌍방울,548,"3,497,917"
18,삼부토건,"2,175","3,470,333"
19,고려산업,"6,730","3,405,100"
20,까뮤이앤씨,"2,235","3,258,689"
21,DB하이텍,"41,800","2,842,244"
22,대성에너지,"11,350","2,719,738"
23,신한 인버스 2X 천연가스 선물 ETN,355,"2,424,284"
24,TRUE 인버스 2X 천연가스 선물 ETN(H),645,"2,394,990"
25,KODEX 코스닥150,"10,595","2,308,862"
26,부산주공,823,"2,250,683"
27,후성,"16,100","2,220,805"
28,삼성중공업,"5,360","2,119,235"
29,KODEX 200,"30,545","2,063,793"
30,NPC,"9,050","2,049,525"
31,두산에너빌리티,"17,950","1,965,037"
32,에이프로젠 MED,"1,600","1,921,418"
33,팬오션,"5,200","1,841,361"
34,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,795","1,683,621"
35,KODEX WTI원유선물인버스(H),"4,320","1,655,102"
36,LG디스플레이,"14,550","1,609,792"
37,KEC,"2,515","1,536,643"
38,일동홀딩스,"31,700","1,509,102"
39,국제약품,"5,900","1,488,769"
40,서울식품,252,"1,444,660"
41,신한 인버스 2X WTI원유 선물 ETN(H),110,"1,385,873"
42,신일전자,"2,075","1,350,025"
43,TYM,"2,390","1,329,834"
44,SK하이닉스,"93,100","1,276,542"
45,대한제당,"3,255","1,232,793"
46,대한항공,"23,450","1,196,918"
47,SK바이오사이언스,"147,000","1,185,728"
48,대원화성,"2,815","1,151,728"
49,와이투솔루션,762,"1,124,481"
50,TIGER 원유선물인버스(H),"3,005","1,123,207"
51,KODEX 은행,"5,910","1,085,261"
52,써니전자,"2,700","1,056,258"
53,한창,909,"1,053,837"
54,대호에이엘,"2,355","1,000,147"
55,HMM,"23,500","972,252"
56,부광약품,"8,910","949,101"
57,KODEX 2차전지산업,"16,690","938,759"
58,광명전기,"2,965","924,703"
59,하나금융지주,"35,800","897,741"
60,미래에셋증권,"6,140","896,678"
61,일진홀딩스,"6,390","877,877"
62,우리금융지주,"11,400","858,971"
63,에스디바이오센서,"48,300","857,792"
64,한신기계,"8,830","857,511"
65,대성산업,"5,050","853,042"
66,TIGER 2차전지테마,"16,825","837,038"
67,한국토지신탁,"1,610","826,732"
68,대한해운,"2,315","806,107"
69,카카오뱅크,"29,950","798,161"
70,진흥기업,"1,615","797,542"
71,SG세계물산,542,"782,508"
72,신성이엔지,"1,830","781,044"
73,TIGER 코스닥150선물인버스,"5,380","769,972"
74,TIGER KEDI혁신기업ESG30,"8,685","753,970"
75,수산중공업,"3,005","746,728"
76,동양철관,"1,055","732,314"
77,카카오,"69,700","716,030"
78,대원제약,"18,950","700,081"
79,진원생명과학,"11,700","692,600"
80,KODEX 미국달러선물인버스2X,"7,125","688,224"
81,신한 인버스 2X 천연가스 선물 ETN(H),215,"687,539"
82,신송홀딩스,"11,800","687,359"
83,한화투자증권,"3,025","659,512"
84,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"17,285","656,617"
85,KG스틸,"12,300","641,936"
86,남선알미늄,"2,060","640,767"
87,기아,"78,100","634,427"
88,제이알글로벌리츠,"4,375","629,998"
89,한화생명,"2,090","612,441"
90,TIGER 인버스,"5,650","609,574"
91,이연제약,"25,950","606,431"
92,한국항공우주,"47,900","602,448"
93,TIGER 미국필라델피아반도체나스닥,"8,920","594,065"
94,신한지주,"35,700","589,238"
95,신풍제약,"25,800","589,016"
96,QV 인버스 레버리지 WTI원유 선물 ETN(H),100,"578,278"
97,에어부산,"1,365","574,407"
98,모나미,"3,635","550,074"
99,국보,"1,165","544,988"
